"Encoder Type";"Bitrate [kbps]";"PSNR [dB]";"VMAF";"Enc time [min]"
AVC;98.53;32.68;70.55;0.05
AVC;299.22;37.52;88.68;0.08
AVC;496.76;39.58;92.54;0.10
AVC;690.46;40.97;94.15;0.11
AVC;888.39;42.06;95.21;0.11
AVC;1079.31;42.91;95.76;0.13
AVC;1269.41;43.66;96.16;0.13
AVC;1461.95;44.34;96.54;0.15
AVC;1660.91;44.93;96.79;0.15
AVC;1854.67;45.48;97.01;0.16
HEVC;100.37;34.43;78.87;0.46
HEVC;300.34;38.55;90.89;0.56
HEVC;502.26;40.77;94.03;0.65
HEVC;698.93;42.18;95.20;0.71
HEVC;899.44;43.33;95.99;0.76
HEVC;1090.65;44.21;96.46;0.81
HEVC;1279.22;44.98;96.79;0.85
HEVC;1471.97;45.65;97.01;0.91
HEVC;1667.23;46.27;97.23;0.95
HEVC;1868.42;46.84;97.38;0.98
AOM;98.2;37.03;85.72;2.68
AOM;301.8;41.86;94.61;3.51
AOM;495.6;44.06;96.38;4.8
AOM;698.5;45.48;97.07;4.81
AOM;896.4;46.41;97.45;5.26
AOM;1095.01;47.22;97.62;5.83
AOM;1293.9;48.04;97.79;5.88
AOM;1501.6;48.55;97.88;6.35
AOM;1701.8;49.34;98.03;6.58
AOM;1908.4;50.01;98.06;6.88
SVT-AV1;109.27;34.14;76.71;3.75
SVT-AV1;346.91;39.36;92.37;4.55
SVT-AV1;550.44;41.74;95.26;5.13
SVT-AV1;746.98;43.18;96.43;5.71
SVT-AV1;949.87;44.11;96.97;6.20
SVT-AV1;1144.21;44.79;97.27;6.78
SVT-AV1;1332.52;45.31;97.43;7.31
SVT-AV1;1477.17;45.67;97.54;7.50
SVT-AV1;1653.80;45.99;97.62;7.85
SVT-AV1;1812.88;46.22;97.67;7.95