Sequence name;Device;App;Media type;Codec;Width;Height;FPS;Duration (sec);Battery Drain (nAh);AVG % CPU;AVG % MEM
elephants_dream;SamsungA31;pAV0NE;local;AV1;704;480;24;125;1560;10.23;6.1
elephants_dream;SamsungA31;pAV0NE;local;AVC;704;480;24;125;411;3.7;5.5
elephants_dream;SamsungA31;pAV0NE;local;HEVC;704;480;24;125;418;3.45;5.5
elephants_dream;SamsungA31;VLC;local;AV1;704;480;24;125;1270;11.27;7.5
elephants_dream;SamsungA31;VLC;local;AVC;704;480;24;125;278;2.6;7.3
elephants_dream;SamsungA31;VLC;local;HEVC;704;480;24;125;272;2.55;7.4
big_buck_bunny;SamsungA31;pAV0NE;local;AV1;854;480;24;125;1260;7.92;5.9
big_buck_bunny;SamsungA31;pAV0NE;local;AVC;854;480;24;125;416;3.58;5.3
big_buck_bunny;SamsungA31;pAV0NE;local;HEVC;854;480;24;125;425;3.5;5.2
big_buck_bunny;SamsungA31;VLC;local;AV1;854;480;24;125;1180;8.44;7.0
big_buck_bunny;SamsungA31;VLC;local;AVC;854;480;24;125;275;2.0;7.3
big_buck_bunny;SamsungA31;VLC;local;HEVC;854;480;24;125;290;2.0;6.8
park_joy;SamsungA31;pAV0NE;local;AV1;1280;720;50;90;5290;20.03;6.9
park_joy;SamsungA31;pAV0NE;local;AVC;1280;720;50;90;653;5.3;6.3
park_joy;SamsungA31;pAV0NE;local;HEVC;1280;720;50;90;463;5.25;5.9
park_joy;SamsungA31;VLC;local;AV1;1280;720;50;90;3810;31.5;8.22
park_joy;SamsungA31;VLC;local;AVC;1280;720;50;90;454;5.1;7.56
park_joy;SamsungA31;VLC;local;HEVC;1280;720;50;90;412;4.9;7.8
marathon_30fps;SamsungA31;pAV0NE;local;AV1;1280;720;30;90;3670;16.78;7.2
marathon_30fps;SamsungA31;pAV0NE;local;AVC;1280;720;30;90;349;3.94;6.3
marathon_30fps;SamsungA31;pAV0NE;local;HEVC;1280;720;30;90;358;4.04;5.2
marathon_30fps;SamsungA31;VLC;local;AV1;1280;720;30;90;2620;23.77;7.5
marathon_30fps;SamsungA31;VLC;local;AVC;1280;720;30;90;282;3.14;7.4
marathon_30fps;SamsungA31;VLC;local;HEVC;1280;720;30;90;464;3.1;7.75
sunflower;SamsungA31;pAV0NE;local;AV1;1920;1080;25;80;5350;21.24;8.22
sunflower;SamsungA31;pAV0NE;local;AVC;1920;1080;25;80;318;4.4;5.9
sunflower;SamsungA31;pAV0NE;local;HEVC;1920;1080;25;80;364;4.43;5.9
sunflower;SamsungA31;VLC;local;AV1;1920;1080;25;80;4270;30.08;8.03
sunflower;SamsungA31;VLC;local;AVC;1920;1080;25;80;283;3.0;7.65
sunflower;SamsungA31;VLC;local;HEVC;1920;1080;25;80;219;2.9;7.55
sintel_trailer;SamsungA31;pAV0NE;local;AV1;1920;1080;24;104;4630;18.05;8.57
sintel_trailer;SamsungA31;pAV0NE;local;AVC;1920;1080;24;104;411;4.5;5.8
sintel_trailer;SamsungA31;pAV0NE;local;HEVC;1920;1080;24;104;419;4.0;5.8
sintel_trailer;SamsungA31;VLC;local;AV1;1920;1080;24;104;3430;24.06;8.57
sintel_trailer;SamsungA31;VLC;local;AVC;1920;1080;24;104;260;2.83;6.6
sintel_trailer;SamsungA31;VLC;local;HEVC;1920;1080;24;104;257;2.81;6.4
big_buck_bunny;SamsungS5;pAV0NE;local;AV1;854;480;24;125;7.92e6;9.65;
big_buck_bunny;SamsungS5;pAV0NE;local;AVC;854;480;24;125;0.98e6;4.34;
big_buck_bunny;SamsungS5;pAV0NE;local;HEVC;854;480;24;125;2.89e6;8.78;
big_buck_bunny;SamsungS5;VLC;local;AV1;854;480;24;125;3.03e6;8.3;
big_buck_bunny;SamsungS5;VLC;local;AVC;854;480;24;125;1.21e6;3.28;
big_buck_bunny;SamsungS5;VLC;local;HEVC;854;480;24;125;3.52e6;9.62;
marathon_25fps;SamsungS5;pAV0NE;local;AV1;1280;720;25;76;13.2e6;18.5;
marathon_25fps;SamsungS5;pAV0NE;local;AVC;1280;720;25;76;0.53e6;4.44;
marathon_25fps;SamsungS5;pAV0NE;local;HEVC;1280;720;25;76;3.31e6;11.26;
marathon_25fps;SamsungS5;VLC;local;AV1;1280;720;25;76;6.15e6;11.72;
marathon_25fps;SamsungS5;VLC;local;AVC;1280;720;25;76;0.37e6;3.25;
marathon_25fps;SamsungS5;VLC;local;HEVC;1280;720;25;76;5.80e6;10.79;
big_buck_bunny;SamsungA31;pAV0NE;DASH;AV1;854;480;24;125;1470;9.47;6.6
big_buck_bunny;SamsungA31;pAV0NE;DASH;AVC;854;480;24;125;555;3.97;6.1
big_buck_bunny;SamsungA31;pAV0NE;DASH;HEVC;854;480;24;125;477;3.8;6.0
marathon_30fps;SamsungA31;pAV0NE;DASH;AV1;1280;720;30;90;3650;16.68;7.6
marathon_30fps;SamsungA31;pAV0NE;DASH;AVC;1280;720;30;90;366;4.5;6.2
marathon_30fps;SamsungA31;pAV0NE;DASH;HEVC;1280;720;30;90;454;4.34;6.0
sunflower;SamsungA31;pAV0NE;DASH;AV1;1920;1080;25;80;5160;21.5;8.4
sunflower;SamsungA31;pAV0NE;DASH;AVC;1920;1080;25;80;337;4.32;6.1
sunflower;SamsungA31;pAV0NE;DASH;HEVC;1920;1080;25;80;354;4.29;5.9
marathon_25fps;SamsungS5;pAV0NE;DASH;AV1;1280;720;25;76;18.1e6;18.71;
marathon_25fps;SamsungS5;pAV0NE;DASH;AVC;1280;720;25;76;0.59e6;4.34;
marathon_25fps;SamsungS5;pAV0NE;DASH;HEVC;1280;720;25;76;4.53e6;8.03;
big_buck_bunny;SamsungS5;pAV0NE;DASH;AV1;854;480;24;125;6.13e6;10.16;
big_buck_bunny;SamsungS5;pAV0NE;DASH;AVC;854;480;24;125;0.98e6;4.5;
big_buck_bunny;SamsungS5;pAV0NE;DASH;HEVC;854;480;24;125;3.48e6;8.75;